economy,time,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SL.EMP.TOTL.SP.ZS
BGD,1990,5.62225816160344,473.444821021085,
BGD,1991,3.48522781598027,480.673358976087,55.666
BGD,1992,5.44268554966725,497.371173735323,55.795
BGD,1993,4.71156172453999,511.193509421294,55.897
BGD,1994,3.89012644116818,521.323144726555,56.015
BGD,1995,5.12127789724337,537.931946643983,56.129
BGD,1996,4.52291921684423,552.077107138767,56.242
BGD,1997,4.4898964976265,566.271140847632,56.277
BGD,1998,5.1770268731498,584.448175174047,56.289
BGD,1999,4.67015636882111,600.232323162952,56.283
BGD,2000,5.29329471892532,620.560472822105,56.261
BGD,2001,5.07728777526728,641.288922876274,56.105
BGD,2002,3.83312393993225,655.672139362272,55.899
BGD,2003,4.73956739963045,676.826252046427,55.674
BGD,2004,5.23953291029852,702.656357081873,55.646
BGD,2005,6.53594493875502,739.203718353409,55.65
BGD,2006,6.67190498576788,779.419570444998,55.986
BGD,2007,7.05859935449848,825.508229964537,55.861
BGD,2008,6.01378975738535,866.45815762135,55.705
BGD,2009,5.04512479919337,901.729626251937,55.528
BGD,2010,5.57178818533122,943.66422864236,56.597
BGD,2011,6.46437912497728,995.579947155662,55.941
BGD,2012,6.52145877906443,1050.39140404066,55.3
BGD,2013,6.01360565834344,1103.15695907123,54.649
BGD,2014,6.0610593588495,1159.40753475981,54.308
BGD,2015,6.55263987816197,1224.38647668165,53.972
BGD,2016,7.11347821270093,1299.83091360792,53.65
BGD,2017,6.59024999794057,1373.75363740186,55.778
BGD,2018,7.31941263014136,1462.25050255713,56.3
BGD,2019,7.88191515117722,1564.20802445636,56.791
BGD,2020,3.44801755122445,1604.6659234742,56.459
BGD,2021,6.93867912442445,1702.08028414189,57.751
BGD,2022,7.09982877575158,1804.3493461776,59.031
BGD,2023,5.77511237007889,1885.37733613545,58.845
BTN,1990,10.3831179126517,812.671325588739,
BTN,1991,-0.407875722553669,795.191842865383,69.512
BTN,1992,4.60089124887257,863.46389569327,69.429
BTN,1993,1.98636656014881,917.291292689812,69.34
BTN,1994,4.95150372472288,963.016574291679,69.292
BTN,1995,7.07411745757784,1043.38748981674,69.245
BTN,1996,5.56517288179062,1099.85817824831,69.21
BTN,1997,5.37383854585261,1138.39922318847,69.179
BTN,1998,5.91403093576604,1182.98781073316,69.16
BTN,1999,7.98397179406629,1248.61600842811,69.068
BTN,2000,3.35506838174288,1259.6237645235,68.723
BTN,2001,7.32837435673082,1321.09878230279,68.408
BTN,2002,10.4437797168913,1427.25693317315,68.322
BTN,2003,7.78656040877364,1506.4152751782,68.27
BTN,2004,5.15725736177561,1552.73915195801,67.737
BTN,2005,6.93507146766659,1632.02169500573,67.318
BTN,2006,5.6408051539139,1701.11878173586,67.356
BTN,2007,16.1047836542012,1952.25734603779,67.031
BTN,2008,4.52944877696235,2017.76018913403,66.985
BTN,2009,7.66749238553135,2148.56480375034,66.94
BTN,2010,11.9318738376229,2378.72810760985,65.887
BTN,2011,8.4892584842808,2552.48871073094,65.233
BTN,2012,5.16482012683895,2654.74798946027,63.08
BTN,2013,1.73634039505693,2671.07460201171,63.426
BTN,2014,5.88108550658288,2797.81883971908,60.963
BTN,2015,6.66080128866197,2954.04081911097,61.593
BTN,2016,8.47594339232963,3173.36773217431,61.257
BTN,2017,2.08684522733067,3211.80903275593,60.882
BTN,2018,3.50187185732737,3300.55006461736,60.506
BTN,2019,5.75514851246506,3467.38598979356,64.559
BTN,2020,-10.2183974208569,3092.12428399363,64.415
BTN,2021,4.42136738945015,3206.20366997254,65.776
BTN,2022,5.21386783786224,3349.73309632799,59.342
BTN,2023,4.63215704523927,3480.51388574877,62.962
IND,1990,5.53345456125301,537.870269533789,
IND,1991,1.05683143496063,531.898397841583,53.537
IND,1992,5.48239602040357,549.235069966802,53.561
IND,1993,4.75077621776924,563.372872328964,53.581
